0;600.0;900.0;10.0;15.0
1;600.0;900.0;20.0;30.0
2;600.0;900.0;30.0;45.0
3;600.0;900.0;40.0;60.0
4;600.0;900.0;50.0;75.0
5;600.0;900.0;60.0;90.0
6;600.0;900.0;70.0;105.0
7;600.0;900.0;80.0;120.0
8;600.0;900.0;90.0;135.0
9;600.0;900.0;100.0;150.0
10;600.0;900.0;110.0;165.0
11;600.0;900.0;120.0;180.0
12;600.0;900.0;130.0;195.0
13;600.0;900.0;140.0;210.0
14;600.0;900.0;150.0;225.0
15;600.0;900.0;160.0;240.0
16;600.0;900.0;170.0;255.0
17;600.0;900.0;180.0;270.0
18;600.0;900.0;190.0;285.0
19;600.0;900.0;200.0;300.0
20;600.0;900.0;210.0;315.0
21;600.0;900.0;220.0;330.0
22;600.0;900.0;230.0;345.0
23;600.0;900.0;240.0;360.0
24;600.0;900.0;250.0;375.0
25;600.0;900.0;260.0;390.0
26;600.0;900.0;270.0;405.0
27;600.0;900.0;280.0;420.0
28;600.0;900.0;290.0;435.0
29;600.0;900.0;300.0;450.0
30;600.0;900.0;310.0;465.0
31;600.0;900.0;320.0;480.0
32;600.0;900.0;330.0;495.0
33;600.0;900.0;340.0;510.0
34;600.0;900.0;350.0;525.0
35;600.0;900.0;360.0;540.0
36;600.0;900.0;370.0;555.0
37;600.0;900.0;380.0;570.0
38;600.0;900.0;390.0;585.0
39;600.0;900.0;400.0;600.0
40;600.0;900.0;410.0;615.0
41;600.0;900.0;420.0;630.0
42;600.0;900.0;430.0;645.0
43;600.0;900.0;440.0;660.0
44;600.0;900.0;450.0;675.0
45;600.0;900.0;460.0;690.0
46;600.0;900.0;470.0;705.0
47;600.0;900.0;480.0;720.0
48;600.0;900.0;490.0;735.0
49;600.0;900.0;500.0;750.0
50;600.0;900.0;510.0;765.0
51;600.0;900.0;520.0;780.0
52;600.0;900.0;530.0;795.0
53;600.0;900.0;540.0;810.0
54;600.0;900.0;550.0;825.0
55;600.0;900.0;560.0;840.0
56;600.0;900.0;570.0;855.0
57;600.0;900.0;580.0;870.0
58;600.0;900.0;590.0;885.0
59;600.0;900.0;600.0;900.0
60;600.0;900.0;610.0;915.0
61;600.0;900.0;620.0;930.0
62;600.0;900.0;630.0;945.0
63;600.0;900.0;640.0;960.0
64;600.0;900.0;650.0;975.0
65;600.0;900.0;660.0;990.0
66;600.0;900.0;670.0;1005.0
67;600.0;900.0;680.0;1020.0
68;600.0;900.0;690.0;1035.0
69;600.0;900.0;700.0;1050.0
70;600.0;900.0;710.0;1065.0
71;600.0;900.0;720.0;1080.0
72;600.0;900.0;730.0;1095.0
73;600.0;900.0;740.0;1110.0
74;600.0;900.0;750.0;1125.0
75;600.0;900.0;760.0;1140.0
76;600.0;900.0;770.0;1155.0
77;600.0;900.0;780.0;1170.0
78;600.0;900.0;790.0;1185.0
79;600.0;900.0;800.0;1200.0
80;600.0;900.0;810.0;1215.0
81;600.0;900.0;820.0;1230.0
82;600.0;900.0;830.0;1245.0
83;600.0;900.0;840.0;1260.0
84;600.0;900.0;850.0;1275.0
85;600.0;900.0;860.0;1290.0
86;600.0;900.0;870.0;1305.0
87;600.0;900.0;880.0;1320.0
88;600.0;900.0;890.0;1335.0
89;600.0;900.0;900.0;1350.0
90;600.0;900.0;910.0;1365.0
91;600.0;900.0;920.0;1380.0
92;600.0;900.0;930.0;1395.0
93;600.0;900.0;940.0;1410.0
94;600.0;900.0;950.0;1425.0
95;600.0;900.0;960.0;1440.0
96;600.0;900.0;970.0;1455.0
97;600.0;900.0;980.0;1470.0
98;600.0;900.0;990.0;1485.0
99;600.0;900.0;1000.0;1500.0
100;600.0;900.0;1010.0;1515.0
101;600.0;900.0;1020.0;1530.0
102;600.0;900.0;1030.0;1545.0
103;600.0;900.0;1040.0;1560.0
104;600.0;900.0;1050.0;1575.0
105;600.0;900.0;1060.0;1590.0
106;600.0;900.0;1070.0;1605.0
107;600.0;900.0;1080.0;1620.0
108;600.0;900.0;1090.0;1635.0
109;600.0;900.0;1100.0;1650.0
110;600.0;900.0;1110.0;1665.0
111;600.0;900.0;1120.0;1680.0
112;600.0;900.0;1130.0;1695.0
113;600.0;900.0;1140.0;1710.0
114;600.0;900.0;1150.0;1725.0
115;600.0;900.0;1160.0;1740.0
116;600.0;900.0;1170.0;1755.0
117;600.0;900.0;1180.0;1770.0
118;600.0;900.0;1190.0;1785.0
119;600.0;900.0;1200.0;1800.0
120;600.0;900.0;1210.0;1815.0
121;600.0;900.0;1220.0;1830.0
122;600.0;900.0;1230.0;1845.0
123;600.0;900.0;1240.0;1860.0
124;600.0;900.0;1250.0;1875.0
125;600.0;900.0;1260.0;1890.0
126;600.0;900.0;1270.0;1905.0
127;600.0;900.0;1280.0;1920.0
128;600.0;900.0;1290.0;1935.0
129;600.0;900.0;1300.0;1950.0
130;600.0;900.0;1310.0;1965.0
131;600.0;900.0;1320.0;1980.0
132;600.0;900.0;1330.0;1995.0
133;600.0;900.0;1340.0;2010.0
134;600.0;900.0;1350.0;2025.0
135;600.0;900.0;1360.0;2040.0
136;600.0;900.0;1370.0;2055.0
137;600.0;900.0;1380.0;2070.0
138;600.0;900.0;1390.0;2085.0
139;600.0;900.0;1400.0;2100.0
140;600.0;900.0;1410.0;2115.0
141;600.0;900.0;1420.0;2130.0
142;600.0;900.0;1430.0;2145.0
143;600.0;900.0;1440.0;2160.0
144;600.0;900.0;1450.0;2175.0
145;600.0;900.0;1460.0;2190.0
146;600.0;900.0;1470.0;2205.0
147;600.0;900.0;1480.0;2220.0
